danbooru_tag,base_tag,is_variant,franchise,post_count
enkidu_(fate),enkidu_(fate),0,Fate,2354
nero_claudius_(swimsuit_caster)_(fate),nero_claudius_(fate),1,Fate,2301
tamamo_no_mae_(swimsuit_lancer)_(fate),tamamo_no_mae_(fate),1,Fate,2266
mysterious_heroine_xx_(fate),mysterious_heroine_xx_(fate),0,Fate,2266
ashiya_douman_(fate),ashiya_douman_(fate),0,Fate,2240
hassan_of_serenity_(fate),hassan_of_serenity_(fate),0,Fate,2211
artoria_pendragon_(lancer_alter)_(fate),artoria_pendragon_(fate),1,Fate,2192
marie_antoinette_(fate),marie_antoinette_(fate),0,Fate,2144
jeanne_d'arc_alter_santa_lily_(fate),jeanne_d'arc_alter_santa_lily_(fate),0,Fate,2051
baobhan_sith_(first_ascension)_(fate),baobhan_sith_(fate),1,Fate,2036
nero_claudius_(bride)_(fate),nero_claudius_(fate),1,Fate,1985
jeanne_d'arc_alter_(ver._shinjuku_1999)_(fate),jeanne_d'arc_alter_(fate),1,Fate,1948
artoria_pendragon_(swimsuit_ruler)_(fate),artoria_pendragon_(fate),1,Fate,1942
mysterious_heroine_x_alter_(fate),mysterious_heroine_x_alter_(fate),0,Fate,1913
oberon_(third_ascension)_(fate),oberon_(fate),1,Fate,1887
scathach-skadi_(fate),scathach-skadi_(fate),0,Fate,1874
okita_souji_(third_ascension)_(fate),okita_souji_(fate),1,Fate,1860
lilith_(fate),lilith_(fate),0,Fate,1819
martha_(fate),martha_(fate),0,Fate,1814
medea_(fate),medea_(fate),0,Fate,1808
scathach_skadi_(fate),scathach_skadi_(fate),0,Fate,1808
astolfo_(rider)_(fate),astolfo_(fate),1,Fate,1803
miyamoto_musashi_(swimsuit_berserker)_(fate),miyamoto_musashi_(fate),1,Fate,1788
caenis_(fate),caenis_(fate),0,Fate,1746
yang_guifei_(fate),yang_guifei_(fate),0,Fate,1730
merlin_(fate),merlin_(fate),0,Fate,1726
passionlip_(fate),passionlip_(fate),0,Fate,1685
osakabehime_(fate),osakabehime_(fate),0,Fate,1668
helena_blavatsky_(fate),helena_blavatsky_(fate),0,Fate,1652
arjuna_(fate),arjuna_(fate),0,Fate,1639
karna_(fate),karna_(fate),0,Fate,1630
tenochtitlan_(fate),tenochtitlan_(fate),0,Fate,1607
leonardo_da_vinci_(rider)_(fate),leonardo_da_vinci_(fate),1,Fate,1603
boudica_(fate),boudica_(fate),0,Fate,1600
kama_(young)_(fate),kama_(fate),1,Fate,1592
artoria_pendragon_(swimsuit_ruler)_(first_ascension)_(fate),artoria_pendragon_(fate),1,Fate,1574
murasaki_shikibu_(fate),murasaki_shikibu_(fate),0,Fate,1545
medea_(caster)_(fate),medea_(fate),1,Fate,1533
toto-sama_(fate),toto-sama_(fate),0,Fate,1525
atalanta_(fate),atalanta_(fate),0,Fate,1507
gilles_de_rais_(fate),gilles_de_rais_(fate),0,Fate,1468
edmond_dantes_(fate),edmond_dantes_(fate),0,Fate,1453
okita_souji_alter_(fate),okita_souji_alter_(fate),0,Fate,1451
sieg_(fate),sieg_(fate),0,Fate,1445
artoria_caster_(second_ascension)_(fate),artoria_caster_(fate),1,Fate,1443
scathach_(lancer)_(fate),scathach_(fate),1,Fate,1438
minamoto_no_raikou_(swimsuit_lancer)_(fate),minamoto_no_raikou_(fate),1,Fate,1431
altera_(fate),altera_(fate),0,Fate,1425
medb_(fate),medb_(fate),0,Fate,1404
mordred_(memories_at_trifas)_(fate),mordred_(fate),1,Fate,1378
arthur_pendragon_(fate),arthur_pendragon_(fate),0,Fate,1365
gilles_de_rais_(caster)_(fate),gilles_de_rais_(fate),1,Fate,1359
nursery_rhyme_(fate),nursery_rhyme_(fate),0,Fate,1358
yamato_takeru_(fate),yamato_takeru_(fate),0,Fate,1342
medjed_(fate),medjed_(fate),0,Fate,1324
miyamoto_musashi_(swimsuit_berserker)_(second_ascension)_(fate),miyamoto_musashi_(fate),1,Fate,1323
senji_muramasa_(fate),senji_muramasa_(fate),0,Fate,1319
gilgamesh_(caster)_(fate),gilgamesh_(fate),1,Fate,1317
astolfo_(sailor_paladin)_(fate),astolfo_(fate),1,Fate,1299
kama_(teenager)_(fate),kama_(fate),1,Fate,1293
frankenstein's_monster_(fate),frankenstein's_monster_(fate),0,Fate,1273
florence_nightingale_(trick_or_treatment)_(fate),florence_nightingale_(fate),1,Fate,1265
meltryllis_(swimsuit_lancer)_(first_ascension)_(fate),meltryllis_(fate),1,Fate,1256
cu_chulainn_alter_(fate),cu_chulainn_alter_(fate),0,Fate,1239
xuangzang_sanzang_(fate),xuangzang_sanzang_(fate),0,Fate,1235
scathach_(swimsuit_assassin)_(fate),scathach_(fate),1,Fate,1191
florence_nightingale_(berserker)_(fate),florence_nightingale_(fate),1,Fate,1186
euryale_(fate),euryale_(fate),0,Fate,1174
bb_(swimsuit_mooncancer)_(second_ascension)_(fate),bb_(fate),1,Fate,1166
mordred_(third_ascension)_(fate),mordred_(fate),1,Fate,1163
king_hassan_(fate),king_hassan_(fate),0,Fate,1159
wu_zetian_(fate),wu_zetian_(fate),0,Fate,1142
cu_chulainn_(caster)_(fate),cu_chulainn_(fate),1,Fate,1141
oda_nobukatsu_(fate),oda_nobukatsu_(fate),0,Fate,1137
jeanne_d'arc_alter_(avenger)_(third_ascension)_(fate),jeanne_d'arc_alter_(fate),1,Fate,1129
aesc_(fate),aesc_(fate),0,Fate,1128
abigail_williams_(traveling_outfit)_(fate),abigail_williams_(fate),1,Fate,1127
nemo_(fate),nemo_(fate),0,Fate,1123
kama_(adult)_(fate),kama_(fate),1,Fate,1112
miyamoto_iori_(fate),miyamoto_iori_(fate),0,Fate,1107
tezcatlipoca_(fate),tezcatlipoca_(fate),0,Fate,1102
abigail_williams_(swimsuit_foreigner)_(third_ascension)_(fate),abigail_williams_(fate),1,Fate,1087
queen_draco_(fate),queen_draco_(fate),0,Fate,1086
suzuka_gozen_(fate),suzuka_gozen_(fate),0,Fate,1070
abigail_williams_(third_ascension)_(fate),abigail_williams_(fate),1,Fate,1066
sakata_kintoki_(fate),sakata_kintoki_(fate),0,Fate,1060
bradamante_(fate),bradamante_(fate),0,Fate,1059
gawain_(fate),gawain_(fate),0,Fate,1056
van_gogh_(fate),van_gogh_(fate),0,Fate,1051
sei_shounagon_(fate),sei_shounagon_(fate),0,Fate,1047
scathach_(piercing_bunny)_(fate),scathach_(fate),1,Fate,1039
hebi_nyoubou_(fate),hebi_nyoubou_(fate),0,Fate,1035
artoria_pendragon_(lancer)_(third_ascension)_(fate),artoria_pendragon_(fate),1,Fate,1027
meltryllis_(swimsuit_lancer)_(second_ascension)_(fate),meltryllis_(fate),1,Fate,1020
leonardo_da_vinci_(caster)_(fate),leonardo_da_vinci_(fate),1,Fate,1015
bb_(swimsuit_mooncancer)_(third_ascension)_(fate),bb_(fate),1,Fate,1005
viy_(fate),viy_(fate),0,Fate,993
jeanne_d'arc_(third_ascension)_(fate),jeanne_d'arc_(fate),1,Fate,990
stheno_(fate),stheno_(fate),0,Fate,984
heracles_(fate),heracles_(fate),0,Fate,982
tiamat_(fate),tiamat_(fate),0,Fate,980
yang_guifei_(second_ascension)_(fate),yang_guifei_(fate),1,Fate,968
achilles_(fate),achilles_(fate),0,Fate,958
paul_bunyan_(fate),paul_bunyan_(fate),0,Fate,955
saitou_hajime_(fate),saitou_hajime_(fate),0,Fate,950
angra_mainyu_(fate),angra_mainyu_(fate),0,Fate,949
mysterious_heroine_x_(fate),mysterious_heroine_x_(fate),0,Fate,946
jeanne_d'arc_alter_(avenger)_(first_ascension)_(fate),jeanne_d'arc_alter_(fate),1,Fate,945
nitocris_(swimsuit_assassin)_(fate),nitocris_(fate),1,Fate,933
jeanne_d'arc_(swimsuit_archer)_(first_ascension)_(fate),jeanne_d'arc_(fate),1,Fate,923
brynhild_(fate),brynhild_(fate),0,Fate,920
astolfo_(saber)_(fate),astolfo_(fate),1,Fate,913
okada_izou_(fate),okada_izou_(fate),0,Fate,911
minamoto_no_raikou_(second_ascension)_(fate),minamoto_no_raikou_(fate),1,Fate,906
gray_(fate),gray_(fate),0,Fate,905
elizabeth_bathory_(brave)_(fate),elizabeth_bathory_(fate),1,Fate,904
carmilla_(fate),carmilla_(fate),0,Fate,901
scheherazade_(fate),scheherazade_(fate),0,Fate,890
richard_i_(fate),richard_i_(fate),0,Fate,890
captain_nemo_(fate),captain_nemo_(fate),0,Fate,873
semiramis_(fate),semiramis_(fate),0,Fate,863
nagao_kagetora_(fate),nagao_kagetora_(fate),0,Fate,858
okita_souji_(second_ascension)_(fate),okita_souji_(fate),1,Fate,858
ibaraki_douji_(berserker)_(fate),ibaraki_douji_(fate),1,Fate,853
mysterious_heroine_x_alter_(first_ascension)_(fate),mysterious_heroine_x_alter_(fate),1,Fate,846
xu_fu_(fate),xu_fu_(fate),0,Fate,845
nitocris_(caster)_(fate),nitocris_(fate),1,Fate,845
ibuki_douji_(fate),ibuki_douji_(fate),0,Fate,840
francesca_prelati_(fate),francesca_prelati_(fate),0,Fate,838
okita_j._souji_(fate),okita_j._souji_(fate),0,Fate,824
mordred_(swimsuit_rider)_(fate),mordred_(fate),1,Fate,823
valkyrie_(fate),valkyrie_(fate),0,Fate,814
lavinia_whateley_(fate),lavinia_whateley_(fate),0,Fate,808
medusa_(lancer)_(fate),medusa_(fate),1,Fate,801
gilgamesh_(immoral_biker_jacket)_(fate),gilgamesh_(fate),1,Fate,801
hijikata_toshizou_(fate),hijikata_toshizou_(fate),0,Fate,797
quetzalcoatl_(fate),quetzalcoatl_(fate),0,Fate,792
tamamo_cat_(first_ascension)_(fate),tamamo_cat_(fate),1,Fate,790
kama_(assassin)_(first_ascension)_(fate),kama_(fate),1,Fate,788
martha_(swimsuit_ruler)_(fate),martha_(fate),1,Fate,781
medusa_(casual_wear)_(fate),medusa_(fate),1,Fate,776
bedivere_(fate),bedivere_(fate),0,Fate,769
jeanne_d'arc_(swimsuit_archer)_(second_ascension)_(fate),jeanne_d'arc_(fate),1,Fate,769
minamoto_no_raikou_(first_ascension)_(fate),minamoto_no_raikou_(fate),1,Fate,766
hans_christian_andersen_(fate),hans_christian_andersen_(fate),0,Fate,759
tamamo_cat_(third_ascension)_(fate),tamamo_cat_(fate),1,Fate,756
tomoe_gozen_(swimsuit_saber)_(first_ascension)_(fate),tomoe_gozen_(fate),1,Fate,742
circe_(fate),circe_(fate),0,Fate,738
lilith_(second_ascension)_(fate),lilith_(fate),1,Fate,736
ozymandias_(fate),ozymandias_(fate),0,Fate,734
oda_nobunaga_(maou_avenger)_(fate),oda_nobunaga_(fate),1,Fate,734
boudica_(first_ascension)_(fate),boudica_(fate),1,Fate,722
jeanne_d'arc_(girl_from_orleans)_(fate),jeanne_d'arc_(fate),1,Fate,711
tristan_(fate),tristan_(fate),0,Fate,710
miyamoto_musashi_(third_ascension)_(fate),miyamoto_musashi_(fate),1,Fate,706
gareth_(fate),gareth_(fate),0,Fate,705
abigail_williams_(second_ascension)_(fate),abigail_williams_(fate),1,Fate,702
amakusa_shirou_(fate),amakusa_shirou_(fate),0,Fate,697
mrs._snake_(fate),mrs._snake_(fate),0,Fate,697
koyanskaya_(assassin)_(first_ascension)_(fate),koyanskaya_(fate),1,Fate,696
aesc_(rain_witch)_(fate),aesc_(fate),1,Fate,686
okita_souji_(first_ascension)_(fate),okita_souji_(fate),1,Fate,685
scathach-skadi_(first_ascension)_(fate),scathach-skadi_(fate),1,Fate,684
sakamoto_ryouma_(fate),sakamoto_ryouma_(fate),0,Fate,681
melusine_(second_ascension)_(fate),melusine_(fate),1,Fate,680
oryou_(fate),oryou_(fate),0,Fate,674
astolfo_(memories_at_trifas)_(fate),astolfo_(fate),1,Fate,674
robin_hood_(fate),robin_hood_(fate),0,Fate,673
siegfried_(fate),siegfried_(fate),0,Fate,671
tamamo_no_mae_(swimsuit_lancer)_(second_ascension)_(fate),tamamo_no_mae_(fate),1,Fate,671
melusine_(swimsuit_ruler)_(fate),melusine_(fate),1,Fate,666
lady_avalon_(fate),lady_avalon_(fate),0,Fate,665
mordred_(swimsuit_rider)_(first_ascension)_(fate),mordred_(fate),1,Fate,664
morgan_le_fay_(second_ascension)_(fate),morgan_le_fay_(fate),1,Fate,664
scathach_skadi_(first_ascension)_(fate),scathach_skadi_(fate),1,Fate,662
saber_(swimsuit_archer)_(first_ascension)_(fate),saber_(fate),1,Fate,656
baobhan_sith_(swimsuit_pretender)_(first_ascension)_(fate),baobhan_sith_(fate),1,Fate,651
artoria_caster_(swimsuit_berserker)_(first_ascension)_(fate),artoria_caster_(fate),1,Fate,648
antonio_salieri_(fate),antonio_salieri_(fate),0,Fate,645
yan_qing_(fate),yan_qing_(fate),0,Fate,645
helena_blavatsky_(caster)_(fate),helena_blavatsky_(fate),1,Fate,642
oda_nobunaga_(swimsuit_berserker)_(fate),oda_nobunaga_(fate),1,Fate,633
morgan_le_fay_(third_ascension)_(fate),morgan_le_fay_(fate),1,Fate,633
bb_dubai_(fate),bb_dubai_(fate),0,Fate,626
ushiwakamaru_(second_ascension)_(fate),ushiwakamaru_(fate),1,Fate,624
nero_claudius_(olympian_bloomers)_(fate),nero_claudius_(fate),1,Fate,621
tomoe_gozen_(first_ascension)_(fate),tomoe_gozen_(fate),1,Fate,621
habetrot_(fate),habetrot_(fate),0,Fate,617
murasaki_shikibu_(first_ascension)_(fate),murasaki_shikibu_(fate),1,Fate,616
shuten_douji_(first_ascension)_(fate),shuten_douji_(fate),1,Fate,614
okita_souji_alter_(second_ascension)_(fate),okita_souji_alter_(fate),1,Fate,613
queen_of_sheba_(fate),queen_of_sheba_(fate),0,Fate,612
prince_of_lan_ling_(fate),prince_of_lan_ling_(fate),0,Fate,607
nero_claudius_(bride)_(second_ascension)_(fate),nero_claudius_(fate),1,Fate,607
frankenstein's_monster_(swimsuit_saber)_(fate),frankenstein's_monster_(fate),1,Fate,601
space_ishtar_(fate),space_ishtar_(fate),0,Fate,601
morgan_le_fay_(queen_of_winter)_(fate),morgan_le_fay_(fate),1,Fate,601
scathach_(third_ascension)_(fate),scathach_(fate),1,Fate,600
kingprotea_(fate),kingprotea_(fate),0,Fate,594
cernunnos_(fate),cernunnos_(fate),0,Fate,592
tezcatlipoca_(first_ascension)_(fate),tezcatlipoca_(fate),1,Fate,581
tamamo_no_mae_(swimsuit_lancer)_(third_ascension)_(fate),tamamo_no_mae_(fate),1,Fate,580
francis_drake_(fate),francis_drake_(fate),0,Fate,579
morgan_le_fay_(first_ascension)_(fate),morgan_le_fay_(fate),1,Fate,571
caenis_(second_ascension)_(fate),caenis_(fate),1,Fate,570
hector_(fate),hector_(fate),0,Fate,568
tamamo_cat_(second_ascension)_(fate),tamamo_cat_(fate),1,Fate,566
yui_shousetsu_(fate),yui_shousetsu_(fate),0,Fate,566
kama_(assassin)_(second_ascension)_(fate),kama_(fate),1,Fate,558
artoria_pendragon_(swimsuit_archer)_(fate),artoria_pendragon_(fate),1,Fate,557
child_gilgamesh_(fate),child_gilgamesh_(fate),0,Fate,557
abigail_williams_(swimsuit_foreigner)_(first_ascension)_(fate),abigail_williams_(fate),1,Fate,552
ereshkigal_(swimsuit_beast)_(fate),ereshkigal_(fate),1,Fate,545
oberon_(first_ascension)_(fate),oberon_(fate),1,Fate,544
dobrynya_nikitich_(fate),dobrynya_nikitich_(fate),0,Fate,542
himiko_(fate),himiko_(fate),0,Fate,541
zenobia_(fate),zenobia_(fate),0,Fate,541
shuten_douji_(halloween_caster)_(fate),shuten_douji_(fate),1,Fate,540
nero_claudius_(swimsuit_caster)_(third_ascension)_(fate),nero_claudius_(fate),1,Fate,540
qin_liangyu_(fate),qin_liangyu_(fate),0,Fate,533
van_gogh_(first_ascension)_(fate),van_gogh_(fate),1,Fate,532
kiyohime_(second_ascension)_(fate),kiyohime_(fate),1,Fate,532
huyan_zhuo_(fate),huyan_zhuo_(fate),0,Fate,530
katsushika_hokusai_(swimsuit_saber)_(fate),katsushika_hokusai_(fate),1,Fate,529
baobhan_sith_(swimsuit_pretender)_(third_ascension)_(fate),baobhan_sith_(fate),1,Fate,523
marie_antoinette_(rider)_(fate),marie_antoinette_(fate),1,Fate,520
gorgon_(fate),gorgon_(fate),0,Fate,518
bb_(swimsuit_mooncancer)_(first_ascension)_(fate),bb_(fate),1,Fate,516
nosh_(fate),nosh_(fate),0,Fate,516
sitonai_(fate),sitonai_(fate),0,Fate,512
katsushika_hokusai_(first_ascension)_(fate),katsushika_hokusai_(fate),1,Fate,512
kama_(assassin)_(third_ascension)_(fate),kama_(fate),1,Fate,511
arjuna_alter_(fate),arjuna_alter_(fate),0,Fate,509
marie_antoinette_alter_(fate),marie_antoinette_alter_(fate),0,Fate,509
artoria_pendragon_(royal_icing)_(fate),artoria_pendragon_(fate),1,Fate,509
sasaki_kojirou_(fate),sasaki_kojirou_(fate),0,Fate,508
chevalier_d'eon_(fate),chevalier_d'eon_(fate),0,Fate,506
sherlock_holmes_(fate),sherlock_holmes_(fate),0,Fate,504
charlotte_corday_(fate),charlotte_corday_(fate),0,Fate,502
artoria_caster_(first_ascension)_(fate),artoria_caster_(fate),1,Fate,501
barghest_(second_ascension)_(fate),barghest_(fate),1,Fate,495
sigurd_(fate),sigurd_(fate),0,Fate,494
voyager_(fate),voyager_(fate),0,Fate,491
katou_danzou_(fate),katou_danzou_(fate),0,Fate,491
yu_mei-ren_(second_ascension)_(fate),yu_mei-ren_(fate),1,Fate,488
ishtar_(first_ascension)_(fate),ishtar_(fate),1,Fate,487
baobhan_sith_(second_ascension)_(fate),baobhan_sith_(fate),1,Fate,486
sei_shounagon_(first_ascension)_(fate),sei_shounagon_(fate),1,Fate,486
morgan_le_fay_(water_princess)_(fate),morgan_le_fay_(fate),1,Fate,480
cleopatra_(fate),cleopatra_(fate),0,Fate,472
tamamo_no_mae_(spring_casual)_(fate),tamamo_no_mae_(fate),1,Fate,472
ibaraki_douji_(first_ascension)_(fate),ibaraki_douji_(fate),1,Fate,472
takasugi_shinsaku_(fate),takasugi_shinsaku_(fate),0,Fate,471
melusine_(swimsuit_ruler)_(first_ascension)_(fate),melusine_(fate),1,Fate,467
constantine_xi_(fate),constantine_xi_(fate),0,Fate,464
edward_teach_(fate),edward_teach_(fate),0,Fate,461
oberon_(second_ascension)_(fate),oberon_(fate),1,Fate,461
leonardo_da_vinci_(rider)_(first_ascension)_(fate),leonardo_da_vinci_(fate),1,Fate,459
mordred_(second_ascension)_(fate),mordred_(fate),1,Fate,458
alexander_(fate),alexander_(fate),0,Fate,457
kama_(swimsuit_avenger)_(third_ascension)_(fate),kama_(fate),1,Fate,457
hassan_of_the_cursed_arm_(fate),hassan_of_the_cursed_arm_(fate),0,Fate,455
kukulkan_(fate),kukulkan_(fate),0,Fate,455
wolfgang_amadeus_mozart_(fate),wolfgang_amadeus_mozart_(fate),0,Fate,450
ortlinde_(fate),ortlinde_(fate),0,Fate,447
okita_souji_alter_(first_ascension)_(fate),okita_souji_alter_(fate),1,Fate,447
nitocris_(swimsuit_assassin)_(second_ascension)_(fate),nitocris_(fate),1,Fate,446
okita_j._souji_(first_ascension)_(fate),okita_j._souji_(fate),1,Fate,446
thrud_(fate),thrud_(fate),0,Fate,440
yu_mei-ren_(first_ascension)_(fate),yu_mei-ren_(fate),1,Fate,439
solomon_(fate),solomon_(fate),0,Fate,438
charlemagne_(fate),charlemagne_(fate),0,Fate,437
atalanta_alter_(fate),atalanta_alter_(fate),0,Fate,433
lady_avalon_(second_ascension)_(fate),lady_avalon_(fate),1,Fate,433
tenochtitlan_(second_ascension)_(fate),tenochtitlan_(fate),1,Fate,429
katsushika_hokusai_(second_ascension)_(fate),katsushika_hokusai_(fate),1,Fate,426
abigail_williams_(emerald_float)_(fate),abigail_williams_(fate),1,Fate,424
kiyohime_(first_ascension)_(fate),kiyohime_(fate),1,Fate,422
kriemhild_(fate),kriemhild_(fate),0,Fate,421
ibuki_douji_(swimsuit_berserker)_(fate),ibuki_douji_(fate),1,Fate,416
yu_mei-ren_(swimsuit_lancer)_(fate),yu_mei-ren_(fate),1,Fate,414
antonio_salieri_(second_ascension)_(fate),antonio_salieri_(fate),1,Fate,414
mysterious_heroine_x_alter_(second_ascension)_(fate),mysterious_heroine_x_alter_(fate),1,Fate,414
pollux_(fate),pollux_(fate),0,Fate,413
oda_nobunaga_(swimsuit_berserker)_(first_ascension)_(fate),oda_nobunaga_(fate),1,Fate,413
yu_mei-ren_(third_ascension)_(fate),yu_mei-ren_(fate),1,Fate,412
asclepius_(fate),asclepius_(fate),0,Fate,411
miyamoto_musashi_(first_ascension)_(fate),miyamoto_musashi_(fate),1,Fate,410
kazuradrop_(fate),kazuradrop_(fate),0,Fate,409
miyamoto_musashi_(second_ascension)_(fate),miyamoto_musashi_(fate),1,Fate,409
captain_nemo_(first_ascension)_(fate),captain_nemo_(fate),1,Fate,407
xuangzang_sanzang_(third_ascension)_(fate),xuangzang_sanzang_(fate),1,Fate,407
gawain_(third_ascension)_(fate),gawain_(fate),1,Fate,405
wu_zetian_(first_ascension)_(fate),wu_zetian_(fate),1,Fate,403
kawakami_gensai_(fate),kawakami_gensai_(fate),0,Fate,400
ashwatthama_(fate),ashwatthama_(fate),0,Fate,396
chacha_(fate),chacha_(fate),0,Fate,396
penthesilea_(fate),penthesilea_(fate),0,Fate,395
koyanskaya_(chinese_lostbelt_outfit)_(fate),koyanskaya_(fate),1,Fate,393
astolfo_(saber)_(first_ascension)_(fate),astolfo_(fate),1,Fate,393
cu_chulainn_alter_(third_ascension)_(fate),cu_chulainn_alter_(fate),1,Fate,391
artoria_pendragon_(swimsuit_archer)_(first_ascension)_(fate),artoria_pendragon_(fate),1,Fate,391
yamanami_keisuke_(fate),yamanami_keisuke_(fate),0,Fate,389
brynhild_(lancer)_(fate),brynhild_(fate),1,Fate,388
scathach_(loungewear_mode)_(fate),scathach_(fate),1,Fate,386
beowulf_(fate),beowulf_(fate),0,Fate,384
koyanskaya_(foreigner)_(first_ascension)_(fate),koyanskaya_(fate),1,Fate,383
ishtar_(swimsuit_rider)_(fate),ishtar_(fate),1,Fate,382
anne_bonny_(fate),anne_bonny_(fate),0,Fate,382
baobhan_sith_(swimsuit_pretender)_(second_ascension)_(fate),baobhan_sith_(fate),1,Fate,380
artoria_caster_(swimsuit_berserker)_(second_ascension)_(fate),artoria_caster_(fate),1,Fate,380
nitocris_(swimsuit_assassin)_(first_ascension)_(fate),nitocris_(fate),1,Fate,378
kiyohime_(swimsuit_lancer)_(first_ascension)_(fate),kiyohime_(fate),1,Fate,377
